epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.308,1.85173,1.53402,1.99894,0.93405,0.82578,0.86159,0.60456,1.04513,0.70427,1.78144,0.000658009,0.000658009,0.000658009
2,1139.58,1.06869,0.66899,1.77963,0.94071,0.83507,0.87361,0.625,1.02519,0.59645,1.70069,0.00129845,0.00129845,0.00129845
3,1742.82,0.96148,0.60647,1.73546,0.9511,0.84286,0.88403,0.67702,0.84794,0.55378,1.71331,0.00191248,0.00191248,0.00191248
4,2243.72,0.91833,0.57209,1.70555,0.9478,0.85021,0.88582,0.6874,0.77987,0.52862,1.71424,0.0018812,0.0018812,0.0018812
5,2532.06,0.87667,0.5411,1.71303,0.95895,0.85074,0.89236,0.68394,0.82152,0.51549,1.68586,0.0018416,0.0018416,0.0018416
6,2816.17,0.84288,0.52777,1.70676,0.95202,0.84939,0.89205,0.69973,0.77557,0.49887,1.67842,0.001802,0.001802,0.001802
7,3099.37,0.82424,0.51787,1.70023,0.95672,0.85547,0.8974,0.69506,0.81437,0.4775,1.65466,0.0017624,0.0017624,0.0017624
8,3378.2,0.78278,0.49741,1.70352,0.95854,0.84793,0.89632,0.71353,0.72333,0.45839,1.67224,0.0017228,0.0017228,0.0017228
9,3697.03,0.7854,0.49865,1.69562,0.94842,0.86037,0.89926,0.71606,0.77032,0.48956,1.66101,0.0016832,0.0016832,0.0016832
10,3979.93,0.7689,0.48895,1.6861,0.94998,0.85786,0.89748,0.72776,0.69649,0.44985,1.67033,0.0016436,0.0016436,0.0016436
11,4256.64,0.73994,0.47144,1.69794,0.96239,0.85565,0.90275,0.71584,0.72702,0.45312,1.65182,0.001604,0.001604,0.001604
12,4536.77,0.74762,0.47299,1.68435,0.95811,0.85363,0.90109,0.72141,0.72401,0.44416,1.65666,0.0015644,0.0015644,0.0015644
13,4867.48,0.73409,0.46349,1.67699,0.94972,0.86319,0.89941,0.70668,0.75099,0.44662,1.64726,0.0015248,0.0015248,0.0015248
14,5142.56,0.70858,0.45035,1.68019,0.94602,0.87151,0.91156,0.74932,0.66014,0.4198,1.64365,0.0014852,0.0014852,0.0014852
15,5418.35,0.70499,0.44814,1.68121,0.95177,0.85503,0.90055,0.739,0.66341,0.43763,1.70528,0.0014456,0.0014456,0.0014456
16,5696.18,0.68879,0.44145,1.67797,0.94456,0.86492,0.90362,0.73697,0.67452,0.42498,1.66901,0.001406,0.001406,0.001406
17,5993.31,0.68194,0.43774,1.6715,0.94695,0.86536,0.90668,0.74918,0.63246,0.41484,1.65649,0.0013664,0.0013664,0.0013664
18,6276.82,0.67458,0.43423,1.67499,0.95302,0.86133,0.9047,0.75067,0.64578,0.41951,1.65603,0.0013268,0.0013268,0.0013268
19,6554.14,0.65897,0.42505,1.66903,0.9544,0.87215,0.91285,0.73581,0.7051,0.41401,1.62659,0.0012872,0.0012872,0.0012872
20,6830.41,0.65408,0.42108,1.66753,0.95727,0.86882,0.91223,0.74069,0.67564,0.4104,1.62851,0.0012476,0.0012476,0.0012476
21,7246.26,0.64823,0.41729,1.66441,0.95189,0.86253,0.90459,0.74564,0.66123,0.407,1.66512,0.001208,0.001208,0.001208
22,7727.95,0.6515,0.41872,1.65783,0.95179,0.87079,0.91721,0.77897,0.59099,0.38629,1.64072,0.0011684,0.0011684,0.0011684
23,8255.38,0.64405,0.41504,1.66596,0.95597,0.87247,0.91618,0.76949,0.6091,0.38979,1.65291,0.0011288,0.0011288,0.0011288
24,8845.86,0.64124,0.41137,1.65819,0.95362,0.86929,0.91351,0.77072,0.59568,0.38278,1.64351,0.0010892,0.0010892,0.0010892
25,9426.16,0.63764,0.40852,1.65873,0.96157,0.86851,0.91531,0.77326,0.58843,0.38094,1.64137,0.0010496,0.0010496,0.0010496
26,10009.4,0.62722,0.40365,1.66111,0.95449,0.8722,0.91759,0.77879,0.57073,0.3702,1.63021,0.00101,0.00101,0.00101
27,10509.7,0.62575,0.40448,1.65849,0.95839,0.86431,0.91205,0.75769,0.63158,0.40043,1.64763,0.0009704,0.0009704,0.0009704
28,10788.4,0.62902,0.4015,1.65471,0.95091,0.875,0.9132,0.7518,0.64773,0.38931,1.62749,0.0009308,0.0009308,0.0009308
29,11069.6,0.61881,0.39987,1.66071,0.95145,0.87709,0.91223,0.76457,0.59996,0.38797,1.63768,0.0008912,0.0008912,0.0008912
30,11352.2,0.6204,0.40141,1.64905,0.95602,0.87219,0.91527,0.7697,0.59693,0.3906,1.63444,0.0008516,0.0008516,0.0008516
31,11636.3,0.62063,0.39956,1.64824,0.95977,0.87114,0.91565,0.76338,0.61134,0.3827,1.6303,0.000812,0.000812,0.000812
32,11913.4,0.60254,0.39115,1.65594,0.95734,0.87031,0.91707,0.7807,0.56467,0.37012,1.63191,0.0007724,0.0007724,0.0007724
33,12188,0.60648,0.39506,1.65499,0.95876,0.87516,0.91451,0.74965,0.65039,0.38258,1.61193,0.0007328,0.0007328,0.0007328
34,12463.9,0.59553,0.38508,1.64765,0.9509,0.87135,0.91421,0.77251,0.58898,0.37082,1.63278,0.0006932,0.0006932,0.0006932
35,12742,0.59639,0.38653,1.64724,0.95806,0.87185,0.9169,0.78042,0.57384,0.36573,1.63341,0.0006536,0.0006536,0.0006536
36,13018.8,0.58921,0.38492,1.65488,0.95388,0.87268,0.9147,0.75633,0.64598,0.39074,1.61552,0.000614,0.000614,0.000614
37,13302.8,0.59278,0.38242,1.64141,0.96109,0.87271,0.91912,0.77965,0.57846,0.36833,1.62313,0.0005744,0.0005744,0.0005744
38,13581.9,0.5843,0.37949,1.64033,0.96398,0.86702,0.91527,0.76665,0.6176,0.37268,1.62675,0.0005348,0.0005348,0.0005348
39,13864.4,0.58378,0.3775,1.64778,0.96592,0.87085,0.91614,0.76138,0.62423,0.37151,1.61591,0.0004952,0.0004952,0.0004952
40,14139.9,0.58523,0.37766,1.63859,0.95493,0.87718,0.9193,0.78769,0.54968,0.35722,1.62901,0.0004556,0.0004556,0.0004556
41,14387.2,0.52449,0.35548,1.66876,0.9593,0.8688,0.91097,0.77152,0.5762,0.3668,1.644,0.000416,0.000416,0.000416
42,14609.8,0.51701,0.35363,1.67538,0.96017,0.87167,0.91473,0.76975,0.59947,0.36515,1.62027,0.0003764,0.0003764,0.0003764
43,14831.6,0.51346,0.35183,1.66266,0.95899,0.87481,0.91691,0.77418,0.58882,0.36455,1.61819,0.0003368,0.0003368,0.0003368
44,15048.5,0.51369,0.35122,1.6684,0.96357,0.87055,0.91934,0.77898,0.5725,0.35576,1.62038,0.0002972,0.0002972,0.0002972
45,15271.6,0.51245,0.349,1.66945,0.96169,0.87114,0.916,0.77395,0.58482,0.36029,1.62443,0.0002576,0.0002576,0.0002576
46,15489.4,0.501,0.34311,1.66487,0.95962,0.87159,0.91642,0.78415,0.55293,0.35553,1.62586,0.000218,0.000218,0.000218
47,15707.1,0.5017,0.34164,1.66071,0.96124,0.875,0.91899,0.77949,0.57652,0.35537,1.61614,0.0001784,0.0001784,0.0001784
48,15924.7,0.49701,0.33812,1.6615,0.95414,0.87639,0.91692,0.77411,0.5866,0.35804,1.61573,0.0001388,0.0001388,0.0001388
49,16144.1,0.50317,0.34051,1.65968,0.96175,0.8707,0.91592,0.77314,0.5901,0.35587,1.61854,9.92e-05,9.92e-05,9.92e-05
50,16364.5,0.49813,0.33838,1.65898,0.96349,0.87105,0.91905,0.78155,0.57238,0.35289,1.61743,5.96e-05,5.96e-05,5.96e-05
